Top Left X (Ft),Top Left Y (Ft),Width (Ft),Height (Ft),Name,Type,Top Left X (Ind),Top Left Y (Ind),Width (Ind),Height (Ind)
0,0,715.5,730.5,OVERALL,OVERALL,0,0,477,487
0,0,114,76.5,SYNERGY,BUILDING,0,0,76,51
177,0,381,94.5,PARKING,BUILDING,118,0,254,63
0,156,99,559.5,HOTEL,BUILDING,0,104,66,373
192,159,268.5,244.5,MANAGEMENT A,BUILDING,128,106,179,163
204,403.5,256.5,24,MANAGEMENT B,BUILDING,136,269,171,16
460.5,339,88.5,88.5,MANAGEMENT C,BUILDING,307,226,59,59
633,0,82.5,268.5,BILTMORE,BUILDING,422,0,55,179
492,151.5,58.5,114,GRASS,BUILDING,328,101,39,76
639,318,76.5,385.5,GARAGE,BUILDING,426,212,51,257
180,478.5,385.5,121.5,BUILDING,BUILDING,120,319,257,81
615,333,13.5,370.5,GRASS MEDIAN A,BUILDING,410,222,9,247
642,723,73.5,7.5,GRASS MEDIAN B,BUILDING,428,482,49,5
0,76.5,114,13.6,SYNERGY CORNER,SIDEWALK,0,51,76,9
114,0,16.5,88.5,SYNERGY CORNER,SIDEWALK,76,0,11,59
88.5,90,1.5,1.5,SYNERGY CORNER,SIDEWALK,59,60,1,1
90,90,1.5,3,SYNERGY CORNER,SIDEWALK,60,60,1,2
91.5,90,1.5,4.5,SYNERGY CORNER,SIDEWALK,61,60,1,3
93,90,1.5,7.5,SYNERGY CORNER,SIDEWALK,62,60,1,5
94.5,90,1.5,9,SYNERGY CORNER,SIDEWALK,63,60,1,6
96,90,27,10.5,SYNERGY CORNER,SIDEWALK,64,60,18,7
123,90,3,9,SYNERGY CORNER,SIDEWALK,82,60,2,6
126,90,1.5,7.5,SYNERGY CORNER,SIDEWALK,84,60,1,5
127.5,90,1.5,6,SYNERGY CORNER,SIDEWALK,85,60,1,4
129,90,1.5,3,SYNERGY CORNER,SIDEWALK,86,60,1,2
171,0,6,97.5,SYNERGY CORNER,SIDEWALK,114,0,4,65
172.5,97.5,1.5,1.5,SYNERGY CORNER,SIDEWALK,115,65,1,1
174,97.5,3,3,SYNERGY CORNER,SIDEWALK,116,65,2,2
177,94.5,381,6,SYNERGY CORNER,SIDEWALK,118,63,254,4
0,141,99,15,SYNERGY CORNER,SIDEWALK,0,94,66,10
91.5,139.5,1.5,1.5,SYNERGY CORNER,SIDEWALK,61,93,1,1
93,138,1.5,3,SYNERGY CORNER,SIDEWALK,62,92,1,2
94.5,135,1.5,6,SYNERGY CORNER,SIDEWALK,63,90,1,4
96,133.5,1.5,7.5,SYNERGY CORNER,SIDEWALK,64,89,1,5
97.5,132,1.5,9,SYNERGY CORNER,SIDEWALK,65,88,1,6
99,130.6,21,25.5,SYNERGY CORNER,SIDEWALK,66,87,14,17
120,130.5,3,34.5,SYNERGY CORNER,SIDEWALK,80,87,2,23
120,165,1.5,1.5,SYNERGY CORNER,SIDEWALK,80,110,1,1
99,156,21,574.5,SYNERGY CORNER,SIDEWALK,66,104,14,383
123,132,3,31.5,SYNERGY CORNER,SIDEWALK,82,88,2,21
126,133.5,1.5,28.5,SYNERGY CORNER,SIDEWALK,84,89,1,19
127.5,135,1.5,25.5,SYNERGY CORNER,SIDEWALK,85,90,1,17
129,138,1.5,21,SYNERGY CORNER,SIDEWALK,86,92,1,14
169.5,139.5,1.5,18,SYNERGY CORNER,SIDEWALK,113,93,1,12
171,136.5,1.5,22.5,SYNERGY CORNER,SIDEWALK,114,91,1,15
172.5,135,3,25.5,SYNERGY CORNER,SIDEWALK,115,90,2,17
175.5,135,1.5,27,SYNERGY CORNER,SIDEWALK,117,90,1,18
174,133.5,3,1.5,SYNERGY CORNER,SIDEWALK,116,89,2,1
178.5,163.5,1.5,1.5,SYNERGY CORNER,SIDEWALK,119,109,1,1
177,132,3,31.5,SYNERGY CORNER,SIDEWALK,118,88,2,21
180,132,22.5,27,SYNERGY CORNER,SIDEWALK,120,88,15,18
202.5,133.5,1.5,25.5,SYNERGY CORNER,SIDEWALK,135,89,1,17
204,135,1.5,24,SYNERGY CORNER,SIDEWALK,136,90,1,16
205.5,136.5,1.5,22.5,SYNERGY CORNER,SIDEWALK,137,91,1,15
207,139.5,1.5,19.5,SYNERGY CORNER,SIDEWALK,138,93,1,13
208.5,141,1.5,18,SYNERGY CORNER,SIDEWALK,139,94,1,12
210,142.5,273,16.5,SYNERGY CORNER,SIDEWALK,140,95,182,11
180,159,12,244.5,SYNERGY CORNER,SIDEWALK,120,106,8,163
120,327,1.5,1.5,MANAGEMENT BOX,SIDEWALK,80,218,1,1
120,328.5,3,6,MANAGEMENT BOX,SIDEWALK,80,219,2,4
123,330,3,4.5,MANAGEMENT BOX,SIDEWALK,82,220,2,3
126,331.5,1.5,3,MANAGEMENT BOX,SIDEWALK,84,221,1,2
127.5,333,1.5,1.5,MANAGEMENT BOX,SIDEWALK,85,222,1,1
120,334.5,10.5,163.5,MANAGEMENT BOX,SIDEWALK,80,223,7,109
120,498,1.5,7.5,MANAGEMENT BOX,SIDEWALK,80,332,1,5
121.5,498,1.5,6,MANAGEMENT BOX,SIDEWALK,81,332,1,4
123,498,3,4.5,MANAGEMENT BOX,SIDEWALK,82,332,2,3
126,498,1.5,3,MANAGEMENT BOX,SIDEWALK,84,332,1,2
127.5,498,1.5,1.5,MANAGEMENT BOX,SIDEWALK,85,332,1,1
169.5,412.5,1.5,22.5,MANAGEMENT BOX,SIDEWALK,113,275,1,15
171,411,1.5,27,MANAGEMENT BOX,SIDEWALK,114,274,1,18
172.5,409.5,1.5,30,MANAGEMENT BOX,SIDEWALK,115,273,1,20
174,409.5,1.5,31.5,MANAGEMENT BOX,SIDEWALK,116,273,1,21
175.5,408,1.5,33,MANAGEMENT BOX,SIDEWALK,117,272,1,22
177,406.5,1.5,36,MANAGEMENT BOX,SIDEWALK,118,271,1,24
178.5,405,1.5,37.5,MANAGEMENT BOX,SIDEWALK,119,270,1,25
180,403.5,24,39,MANAGEMENT BOX,SIDEWALK,120,269,16,26
204,427.5,345,15,MANAGEMENT BOX,SIDEWALK,136,285,230,10
169.5,475.5,1.5,3,MANAGEMENT BOX,SIDEWALK,113,317,1,2
171,472.5,1.5,6,MANAGEMENT BOX,SIDEWALK,114,315,1,4
172.5,471,1.5,7.5,MANAGEMENT BOX,SIDEWALK,115,314,1,5
174,469.5,3,9,MANAGEMENT BOX,SIDEWALK,116,313,2,6
177,468,3,10.5,MANAGEMENT BOX,SIDEWALK,118,312,2,7
180,468,385.5,10.5,MANAGEMENT BOX,SIDEWALK,120,312,257,7
169.5,478.5,10.5,241.5,MANAGEMENT BOX,SIDEWALK,113,319,7,161
0,715.5,99,15,SOUTH CORNER,SIDEWALK,0,477,66,10
120,682.5,1.5,7.5,SOUTH CORNER,SIDEWALK,80,455,1,5
121.5,684,1.5,6,SOUTH CORNER,SIDEWALK,81,456,1,4
123,685.5,3,4.5,SOUTH CORNER,SIDEWALK,82,457,2,3
126,687,1.5,3,SOUTH CORNER,SIDEWALK,84,458,1,2
127.5,688.5,1.5,1.5,SOUTH CORNER,SIDEWALK,85,459,1,1
120,690,10.5,33,SOUTH CORNER,SIDEWALK,80,460,7,22
120,723,3,7.5,SOUTH CORNER,SIDEWALK,80,482,2,5
123,723,3,6,SOUTH CORNER,SIDEWALK,82,482,2,4
126,723,1.5,4.5,SOUTH CORNER,SIDEWALK,84,482,1,3
127.5,723,1.5,3,SOUTH CORNER,SIDEWALK,85,482,1,2
180,600,385.5,10.5,SOUTH CORNER,SIDEWALK,120,400,257,7
169.5,720,1.5,3,SOUTH CORNER,SIDEWALK,113,480,1,2
171,720,1.5,6,SOUTH CORNER,SIDEWALK,114,480,1,4
174,720,3,9,SOUTH CORNER,SIDEWALK,116,480,2,6
177,720,390,10.5,SOUTH CORNER,SIDEWALK,118,480,260,7
558,0,10.5,94.5,BILTMORE CORNER,SIDEWALK,372,0,7,63
558,94.5,7.5,6,BILTMORE CORNER,SIDEWALK,372,63,5,4
565.5,94.5,1.5,4.5,BILTMORE CORNER,SIDEWALK,377,63,1,3
567,94.5,1.5,3,BILTMORE CORNER,SIDEWALK,378,63,1,2
622.5,0,10.5,6,BILTMORE CORNER,SIDEWALK,415,0,7,4
